kuvaimen_paino_Aika;kuivaimen_paino_Arvo_kg;Laatu;Kuivatus_aloitus_tai_lopetus
15.5.2025 4:34;222,4;Hyvä;
15.5.2025 5:34;218,3;Hyvä;
15.5.2025 6:46;218,8;Hyvä;
15.5.2025 7:46;218,8;Hyvä;
15.5.2025 8:03;218,3;Hyvä;
15.5.2025 8:53;223,2;Hyvä;
15.5.2025 8:53;218,3;Hyvä;
15.5.2025 9:53;218,3;Hyvä;
15.5.2025 10:09;223,6;Hyvä;
15.5.2025 10:09;218,3;Hyvä;
15.5.2025 12:17;218,3;Hyvä;
15.5.2025 13:19;217,5;Hyvä;
15.5.2025 13:19;222,4;Hyvä;
15.5.2025 14:19;218,3;Hyvä;
15.5.2025 15:19;218,3;Hyvä;
15.5.2025 15:29;217,5;Hyvä;
15.5.2025 15:29;223,6;Hyvä;
15.5.2025 16:55;217,5;Hyvä;
15.5.2025 17:55;217,5;Hyvä;
15.5.2025 18:08;222,4;Hyvä;
15.5.2025 19:24;217,1;Hyvä;
15.5.2025 20:24;217,1;Hyvä;
15.5.2025 21:10;216,7;Hyvä;
15.5.2025 22:10;223,6;Hyvä;
15.5.2025 22:10;216,7;Hyvä;
15.5.2025 22:36;217,1;Hyvä;
15.5.2025 22:45;218,8;Hyvä;
15.5.2025 22:45;216,7;Hyvä;
16.5.2025 0:27;217,5;Hyvä;
16.5.2025 1:27;217,1;Hyvä;
16.5.2025 1:47;217,1;Hyvä;
16.5.2025 1:47;221,2;Hyvä;
16.5.2025 3:24;217,5;Hyvä;
16.5.2025 3:55;217,5;Hyvä;
16.5.2025 3:55;220,8;Hyvä;
16.5.2025 3:57;208,2;Hyvä;
16.5.2025 5:59;217,5;Hyvä;
16.5.2025 6:20;217,5;Hyvä;
16.5.2025 6:20;219,2;Hyvä;
16.5.2025 6:20;217,5;Hyvä;
16.5.2025 7:54;218,3;Hyvä;
16.5.2025 8:54;217,5;Hyvä;
16.5.2025 10:43;204,6;Hyvä;
16.5.2025 10:49;232,5;Hyvä;
16.5.2025 10:55;215,5;Hyvä;
16.5.2025 11:55;214,7;Hyvä;
16.5.2025 12:28;213,5;Hyvä;
16.5.2025 13:50;369;Hyvä;
16.5.2025 13:51;369;Hyvä;
16.5.2025 13:51;369;Hyvä;
16.5.2025 16:23;369;Hyvä;
16.5.2025 16:24;369;Hyvä;
16.5.2025 16:26;369;Hyvä;
16.5.2025 17:01;369;Hyvä;
16.5.2025 17:06;369;Hyvä;
16.5.2025 18:58;369;Hyvä;
16.5.2025 19:11;369;Hyvä;
16.5.2025 19:15;369;Hyvä;
16.5.2025 19:46;369;Hyvä;
16.5.2025 21:27;435;Hyvä;
16.5.2025 22:22;501;Hyvä;
16.5.2025 23:14;567;Hyvä;
16.5.2025 23:55;633;Hyvä;
16.5.2025 23:55;699;Hyvä;
17.5.2025 0:32;765;Hyvä;ennen kuivaus
17.5.2025 2:26;765;Hyvä;
17.5.2025 2:27;765;Hyvä;
17.5.2025 2:27;765;Hyvä;
17.5.2025 2:28;765;Hyvä;
17.5.2025 4:59;486,5;Hyvä;
17.5.2025 4:59;498,3;Hyvä;
17.5.2025 5:00;498,7;Hyvä;
17.5.2025 5:00;505,2;Hyvä;
17.5.2025 7:30;395;Hyvä;
17.5.2025 7:32;393,8;Hyvä;
17.5.2025 7:35;392,5;Hyvä;
17.5.2025 10:01;361,3;Hyvä;
17.5.2025 10:04;363,4;Hyvä;
17.5.2025 10:04;365,4;Hyvä;
17.5.2025 10:11;367;Hyvä;
17.5.2025 12:36;350,8;Hyvä;
17.5.2025 12:37;351,2;Hyvä;
17.5.2025 12:37;354,1;Hyvä;
17.5.2025 12:38;358,5;Hyvä;
17.5.2025 14:42;341,1;Hyvä;
17.5.2025 15:09;342,7;Hyvä;
17.5.2025 15:09;346,4;Hyvä;
17.5.2025 15:23;352,8;Hyvä;
17.5.2025 17:38;340,3;Hyvä;
17.5.2025 17:41;344,3;Hyvä;
17.5.2025 17:41;344,3;Hyvä;
17.5.2025 17:42;340,7;Hyvä;
17.5.2025 18:06;348,8;Hyvä;
17.5.2025 19:27;343,1;Hyvä;
17.5.2025 20:16;342,7;Hyvä;
17.5.2025 20:16;342,3;Hyvä;
17.5.2025 22:34;349,2;Hyvä;
17.5.2025 22:36;344,7;Hyvä;
