pesusailio_Aika;Pesusailio_pinta_Arvo_%;Laatu;linkous_aloitus_lopetus
14.5.2025 0:39;35,81;Hyvä;
14.5.2025 0:39;36,57;Hyvä;
14.5.2025 0:43;33,06;Hyvä;
14.5.2025 4:36;40,56;Hyvä;
14.5.2025 9:13;36,59;Hyvä;
14.5.2025 9:13;36,8;Hyvä;
14.5.2025 10:03;33,35;Hyvä;
14.5.2025 11:11;40,52;Hyvä;
14.5.2025 17:48;36,67;Hyvä;
14.5.2025 17:48;37,29;Hyvä;
14.5.2025 22:02;33,82;Hyvä;
15.5.2025 2:11;41,42;Hyvä;
15.5.2025 2:22;36,63;Hyvä;
15.5.2025 2:23;36,46;Hyvä;
15.5.2025 3:37;34,29;Hyvä;
15.5.2025 4:20;47,16;Hyvä;
15.5.2025 10:56;43,95;Hyvä;
15.5.2025 10:57;43,87;Hyvä;
15.5.2025 11:09;43,35;Hyvä;
15.5.2025 19:30;49,91;Hyvä;
15.5.2025 19:31;49,2;Hyvä;
15.5.2025 19:32;49,3;Hyvä;
15.5.2025 19:34;49,38;Hyvä;
16.5.2025 4:06;67,78;Hyvä;
16.5.2025 4:06;67,57;Hyvä;
16.5.2025 4:07;67,67;Hyvä;
16.5.2025 4:10;67,41;Hyvä;
16.5.2025 12:27;94,66;Hyvä;
16.5.2025 12:41;94,41;Hyvä;
16.5.2025 12:41;94,31;Hyvä;
16.5.2025 12:45;94,38;Hyvä;
16.5.2025 15:57;82,49;Hyvä;
16.5.2025 21:15;90,5;Hyvä;
16.5.2025 21:16;90,44;Hyvä;
16.5.2025 23:18;90,09;Hyvä;
17.5.2025 5:13;90,88;Hyvä;
17.5.2025 5:50;90,58;Hyvä;
17.5.2025 5:50;90,32;Hyvä;
17.5.2025 12:54;90,05;Hyvä;
17.5.2025 14:10;90,84;Hyvä;aloitus
17.5.2025 14:24;90,44;Hyvä;
17.5.2025 14:25;90,34;Hyvä;
17.5.2025 14:29;90,68;Hyvä;
17.5.2025 20:51;60,71;Hyvä;lopetus
17.5.2025 22:59;90,04;Hyvä;
17.5.2025 23:00;89,94;Hyvä;
18.5.2025 0:52;90,41;Hyvä;
18.5.2025 5:11;89,59;Hyvä;
18.5.2025 7:34;89,92;Hyvä;
18.5.2025 7:35;90,01;Hyvä;
18.5.2025 12:58;90,26;Hyvä;
18.5.2025 14:17;89,44;Hyvä;
18.5.2025 16:09;89,58;Hyvä;
18.5.2025 16:10;89,64;Hyvä;
18.5.2025 16:30;90,01;Hyvä;
18.5.2025 21:52;89,27;Hyvä;
19.5.2025 0:42;89,68;Hyvä;
19.5.2025 0:43;89,59;Hyvä;
19.5.2025 1:23;89,92;Hyvä;
19.5.2025 7:52;89,09;Hyvä;
19.5.2025 9:18;89,29;Hyvä;
19.5.2025 9:19;89,39;Hyvä;
19.5.2025 10:44;15,09;Hyvä;
19.5.2025 12:08;89,71;Hyvä;
19.5.2025 17:52;89,17;Hyvä;
19.5.2025 17:53;89,27;Hyvä;
19.5.2025 18:13;89,66;Hyvä;
20.5.2025 2:05;88,82;Hyvä;
20.5.2025 2:27;89,03;Hyvä;
20.5.2025 2:27;89,26;Hyvä;
20.5.2025 3:18;89,46;Hyvä;
20.5.2025 8:52;88,64;Hyvä;
20.5.2025 11:02;89,02;Hyvä;
20.5.2025 11:02;88,71;Hyvä;
20.5.2025 17:12;89,45;Hyvä;
20.5.2025 18:39;88,58;Hyvä;
20.5.2025 19:35;88,95;Hyvä;
20.5.2025 19:37;89,05;Hyvä;
20.5.2025 20:18;89,23;Hyvä;
21.5.2025 3:52;88,47;Hyvä;
21.5.2025 4:11;88,85;Hyvä;
21.5.2025 4:12;88,95;Hyvä;
21.5.2025 12:24;88,32;Hyvä;
21.5.2025 12:29;89,19;Hyvä;
21.5.2025 12:45;88,63;Hyvä;
21.5.2025 12:46;88,73;Hyvä;
21.5.2025 14:46;88,21;Hyvä;
21.5.2025 15:17;88,98;Hyvä;
21.5.2025 21:19;88,52;Hyvä;
21.5.2025 21:21;88,6;Hyvä;
21.5.2025 22:12;88,95;Hyvä;
22.5.2025 4:57;88,07;Hyvä;
22.5.2025 5:55;88,43;Hyvä;
22.5.2025 5:55;88,25;Hyvä;
22.5.2025 8:26;88,72;Hyvä;
22.5.2025 11:39;87,99;Hyvä;
22.5.2025 14:30;88,25;Hyvä;
22.5.2025 14:30;88,11;Hyvä;
22.5.2025 17:35;88,67;Hyvä;aloitus
22.5.2025 22:52;43,49;Hyvä;
22.5.2025 23:04;44,3;Hyvä;
22.5.2025 23:04;44,2;Hyvä;
23.5.2025 5:51;44,79;Hyvä;
23.5.2025 6:48;43,24;Hyvä;lopetus
23.5.2025 7:39;44,64;Hyvä;
23.5.2025 7:39;44,55;Hyvä;
23.5.2025 14:16;44,8;Hyvä;
23.5.2025 16:02;43,22;Hyvä;
23.5.2025 16:13;43,9;Hyvä;
23.5.2025 16:14;44,21;Hyvä;
23.5.2025 23:53;44,6;Hyvä;
24.5.2025 0:38;43,1;Hyvä;
24.5.2025 0:48;43,68;Hyvä;
24.5.2025 0:48;43,76;Hyvä;
24.5.2025 0:51;43,24;Hyvä;
24.5.2025 8:46;91,65;Hyvä;
24.5.2025 9:23;84,68;Hyvä;
24.5.2025 9:23;84,76;Hyvä;
24.5.2025 9:31;89,95;Hyvä;aloitus
24.5.2025 9:53;48,6;Hyvä;
24.5.2025 17:57;53,09;Hyvä;
24.5.2025 17:57;53,01;Hyvä;lopetus
